Title,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Filming Locations,Budget, Action, Adult, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,English,Spanish,Japanese,German,Hindi,Filipino,French,Tagalog,Thai,Tamil,Turkish,Russian,Indonesian,Italian,Mandarin,Korean,Swedish,Portuguese,Telugu,Chinese,Malayalam,Malay,Cantonese,Kannada,Danish,Norwegian,Dutch,Arabic,Romanian,Hungarian,Vietnamese,Latin,Serbian,Catalan,Ukrainian,Persian,American Sign Language,Bulgarian,Polish,Bengali
I Am ZoZo (2012),0.0,0.9295774647887324,0.9,3.6,0.43452380952380953,"Directed by Scott Di Lalla. With Kelly McLaren, Courtney Foxworthy, Demetrius Sager, Caleb Courtney. I Am ZoZo is a psychological thriller about five young people who play with a Ouija board on Halloween and attract the attention of a malevolent demon. The film is based on real experiences with an ancient and malevolent spirit called ZoZo that attaches itself to people exclusively through Ouija boards. I Am ZoZo was shot last fall on location on San Juan Island, WA and Seattle entirely on Kodak ...",0.5442652874961971,0.8974358974358974,0.015789468504155097,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before Dawn (2013),0.19999999999998863,0.4366197183098592,0.2,4.7,0.41666666666666663,"Directed by Dominic Brunt. With Dominic Brunt, Joanne Mitchell, Eileen O'Brien, Nicky Evans. An estranged couple's vacation to save their troubled relationship goes awry when they find themselves under attack from the walking dead",0.26498326741709766,0.8846153846153846,0.015789468504155097,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apparition (2015),0.5999999999999659,0.9295774647887324,0.2,4.0,0.5238095238095238,"Directed by Quinn Saunders. With Katrina Law, Jody Quigley, Lili Bordán, Jarett Armstrong. When Doug's fiancée is killed in a car accident he retreats to their isolated farmhouse to recover from his loss, but supernatural occurrences leave him fearing for his sanity and reveal a secret she took with her to the grave.",0.5363553392150897,0.8974358974358974,0.015789468504155097,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darkroom (2017),1.0,0.6338028169014085,0.25,6.6,0.49404761904761907,"Directed by Pedring Lopez. With Ella Cruz, Bret Jackson, AJ Muhlach, Donnalyn Bartolome.",0.28871311226041985,0.9358974358974359,0.012280696555863316,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't Look in the Basement 2 (2015),0.8000000000000114,0.9295774647887324,0.30000000000000004,4.0,0.45238095238095233,"Directed by Tony Brownrigg. With Andrew Sensenig, Frank Mosley, Arianne Martin, Jim O'Rear. In 1972, the patients and doctors at Stephens Sanitarium were brutally murdered. Over forty years later, the only known survivor returns only to find the ghosts of the past have not been resting in peace.",0.06449650136902951,0.8974358974358974,0.008771924607571533,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2: Voodoo Academy (2012),0.0,0.9295774647887324,0.35000000000000003,4.5,0.375,"Directed by David DeCoteau. With Alex Fox, Michelle Bauer, Brandon Schinaman, Josh Randall. Young hot travelers are sidelined by a road blocked with fallen trees, and stop for a night at the mansion belonging to sexy Sebastian. The house has a history of voodoo, mayhem and horror, and new arrivals are fresh meat for the hungry house...",0.028293276543961056,0.8974358974358974,0.005263152659279751,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Return of the Killer Shrews (2012),0.0,0.9295774647887324,0.4,2.7,0.4285714285714286,"Directed by Steve Latshaw. With John Schneider, Jennifer Lyons, Bruce Davison, James Best. Fifty-three years after being attacked by killer shrews on a remote island, Captain Thorne Sherman is hired by a reality television crew to return to the island in question. The shrews attack again in short order.",0.4803772436872528,0.8974358974358974,0.0026578894876731025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slaughter Drive (2017),1.0,0.9295774647887324,0.45,3.4,0.425595238095238,"Directed by Ben Dietels. With Vincent Bombara, Chris Crighton, Ben Dietels, Danielle Dietels.",0.9714024946759963,0.9358974358974359,5.2626316066454293e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Septic Man (2013),0.39999999999997726,0.9295774647887324,0.5,4.1,0.42261904761904756,"Directed by Jesse Thomas Cook. With Jason David Brown, Molly Dunsworth, Julian Richings, Robert Maillet. A sewage worker gets trapped inside a septic tank during a water contamination crisis and undergoes a hideous transformation.",0.4192272588986918,0.15384615384615385,0.00014034561477374886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Perfect House (2013),0.19999999999998863,0.9295774647887324,0.35000000000000003,4.3,0.4285714285714286,"Directed by Kris Hulbert, Randy Kent. With Felissa Rose, Jonathan Tiersten, John Philbin, Dustin Stevens. A young couple's dream home turns into a house of horrors when the disturbing, violent acts of three generations of doomed families is reawakened for them to witness.",0.32187404928506236,0.8974358974358974,0.00022806491348104343,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Her Cry: La Llorona Investigation (2013),0.19999999999998863,0.9295774647887324,0.2,5.4,0.45833333333333337,"Directed by Damir Catic. With Nichole Ceballos, James Ezrin, Ron Gelner, Everardo Guzman. Crew of ""Paranormal Legends"" went to film their 4th season at the place where La Llorona (Weeping woman) was reportedly seen. Only thing that's left was 17 hours of tapes and 2 camcorders.",0.7219348950410709,0.8974358974358974,0.0003157842121883379,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Canadoo (2016),0.8000000000000114,0.9295774647887324,0.34,4.0,0.36904761904761907,"Directed by Raymond Wood. With Tyler Buckingham, Alina Lia, Dréy Wigfall, Ali Roberts. When five fame-hungry millennials are chosen to be contestants on a reality survival TV show, it appears they have been given a chance at celebrity stardom - but when a mixture of strange discoveries, unexplained occurrences, and mysterious disappearances plague the group, they begin to turn on one another, wondering if they are actually on a game show or if someone playing a game of their own.",0.9552783693337389,0.8974358974358974,0.007894731620498589,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inoperable (2017),1.0,0.9295774647887324,0.48,4.5,0.37202380952380953,"Directed by Christopher Lawrence Chapman. With Danielle Harris, Katie Keene, Chris Hahn, Jeff Denton. A young woman wakes up in a seemingly evacuated hospital with a hurricane approaching that has awakened malevolent forces inside. She realizes she must escape the hospital before the hurricane passes, or she will be trapped there forever.",0.22969272893215698,0.8974358974358974,0.00736841582825482,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hellriser (2017),1.0,0.9154929577464789,0.62,5.0,0.375,"Directed by Steve Lawson. With Steven Dolton, Charlie Bond, Nathan Head, Raven Lee. When their city is rocked by a series of brutal occult murders, veteran detective John Locke and his young partner Terri Keyes are forced to put aside their differences and follow the trail of evidence to a formerly abandoned asylum.",0.8959537572254335,0.9358974358974359,0.006842100036011053,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
